article,template,kind,identifier,claimed_title,verdict,authority,detail
Television antenna,web,bibliographic,,Rabbit ears vs. flat antennas: Which one is best for my needs?,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The deltopectoral flap vs. the pectoralis major myocutaneous flap. Which one?' at 56% similarity, below the threshold for a match."
Television antenna,book,bibliographic,,"Antenna Engineering Handbook, 3rd Ed.",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Medical Imaging Physics, 3rd Ed.' at 46% similarity, below the threshold for a match."
Television antenna,journal,doi,10.1016/j.aeue.2022.154161,Broadband printed dipole antenna with integrated balun and tuning element for DTV application,verified,crossref,title matches record (100% similarity)
Television antenna,web,bibliographic,,TV Antenna Range,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Antenna range upgrade project Indoor Doppler Antenna Test Range' at 90% similarity, below the threshold for a match."
Television antenna,web,bibliographic,,Going digital: tracing the transition to digital terrestrial television in Australia digital,not_found,crossref+openalex,"no indexed record matches this description. Closest was '7.7. Digital terrestrial television transition information' at 85% similarity, below the threshold for a match."
Television antenna,web,bibliographic,,RTÉNL - Frequently Asked Questions,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Brachyhypopomus walteri,journal,doi,10.3897/zookeys.327.5427,"Two new species and a new subgenus of toothed Brachyhypopomus electric knifefishes (Gymnotiformes, Hypopomidae) from the central Amazon and considerations pertaining to the evolution of a monophasic electric organ discharge",verified,crossref,title matches record (100% similarity)
Brachyhypopomus walteri,web,bibliographic,,"New Electric Fish Found, Are Wired Differently",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Invasive Cancer Found In 40% of AEH Patients' at 45% similarity, below the threshold for a match."
Republican movement (Ireland),book,bibliographic,,The Secret Army: The IRA,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Republican movement (Ireland),book,bibliographic,,Provos The IRA & Sinn Féin,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A Failure to Communicate: Are University Websites Readable?' at 37% similarity, below the threshold for a match."
Republican movement (Ireland),book,bibliographic,,Special Category: The IRA in English Prisons Vol.1: 1968-78,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Sharing special place' at 50% similarity, below the threshold for a match."
Republican movement (Ireland),book,bibliographic,,Special Category: The IRA in English Prisons Vol.1: 1968-78,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Sharing special place' at 50% similarity, below the threshold for a match."
Republican movement (Ireland),book,bibliographic,,The Origins and Rise of Dissident Irish Republicanism,verified,crossref,matched a Crossref record by title search (86% similarity); no DOI given in document
Republican movement (Ireland),book,bibliographic,,"The Omagh Bombing: Some Remaining Questions Fourth Report of Session 2009-10 Report, Together with Formal Minutes, Oral and Written Evidence (House of Commons Papers)",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'House of Commons. Fifth Report from the Foreign Affairs Committee, Session 1981–82. Caribbean and Central America. Together with an Appendix; part of the Proceedings of the Committee relating to the Report; and the Minutes of Evidence taken before the Committee with Appendices. Ordered by the House of Commons to be printed 21 101982. London: Her Majesty/s Stationery Office, £14.20 paperback.' at 63% similarity, below the threshold for a match."
Republican movement (Ireland),web,bibliographic,,Dissident republican criticises Martin McGuinness's toast to queen,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Queen Boudicca?' at 53% similarity, below the threshold for a match."
Republican movement (Ireland),book,bibliographic,,Dissident Irish Republicanism,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Commercial Republicanism' at 70% similarity, below the threshold for a match."
Zodiac (cipher),conference,doi,10.1007/3-540-45473-x_25,Impossible Differential Cryptanalysis of Zodiac,verified,crossref,title matches record (100% similarity)
Zodiac (cipher),journal,bibliographic,,Cryptography and Information Security. Impossible Differential Cryptanalysis of Zodiac.,verified,crossref,matched a Crossref record by title search (92% similarity); no DOI given in document
Zodiac (cipher),book,doi,10.1007/978-3-540-79104-1_27,Information Security Practice and Experience,verified,crossref,title similarity low (39%) but authors agree (100%) — likely the same work recorded differently
Euraphia,web,bibliographic,,"World Register of Marine Species, genus Euraphia",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'worrms: World Register of Marine Species (WoRMS) Client' at 81% similarity, below the threshold for a match."
Euraphia,journal,doi,10.1093/zoolinnean/zlaa160,"The evolutionary diversity of barnacles, with an updated classification of fossil and living forms",verified,crossref,title matches record (100% similarity)
"Yala, Nigeria",web,bibliographic,,About Yala Local Government,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'What the Literature Says About Local Government Cybersecurity' at 90% similarity, below the threshold for a match."
"Yala, Nigeria",web,bibliographic,,The Population Situation in Cross River State of Nigeria and Its Implication for Socio-Economic Development: Observations from the 1991 and 2006 Censuses,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Socio-Economic Lives of Rural Farmers: An Empirical Study of Cocoa Production in Etung and Ikom Communities of Cross River State, Nigeria' at 63% similarity, below the threshold for a match."
"Yala, Nigeria",web,bibliographic,,Post Offices- with map of LGA,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'History of Post Offices and Communications. Exchanges and Territories. A Series at the Crossroads' at 70% similarity, below the threshold for a match."
"Yala, Nigeria",journal,doi,10.4314/og.v9i1.6,Lexicostratigraphy: Tracing Geographical Location and Linguistic Change in Koring,verified,crossref,title matches record (100% similarity)
"Yala, Nigeria",book,bibliographic,,The Early history of the Niger delta,verified,crossref,matched a Crossref record by title search (90% similarity); no DOI given in document
"Yala, Nigeria",web,bibliographic,,Yala Local Government Area,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
"Yala, Nigeria",news,bibliographic,,Cross River test-runs tile factory - The Nation Newspaper,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Medea: The River Runs Backwards' at 64% similarity, below the threshold for a match."
Electroatopos,journal,doi,10.1016/j.cretres.2009.09.009,New ant-like stone beetles in mid-Cretaceous amber from Myanmar (Coleoptera:Staphylinidae: Scydmaeninae),verified,crossref,title matches record (100% similarity)
Bering Island,web,bibliographic,,"Russia, RS26, Bering",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'CHAPTER ONE. VITUS BERING SIGNS ON WITH RUSSIA' at 84% similarity, below the threshold for a match."
Bering Island,web,bibliographic,,"Diatoms of Bering Island, Kamchatka, Russia",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Metallogeny of Low-K Tholeiitic Magmas in Volcanic Arcs: Inferences from Petrology, Geochemistry and Micromineralogy of the Modern Mutnovsky Volcano Lavas (Kamchatka, Russia)' at 63% similarity, below the threshold for a match."
Bering Island,web,bibliographic,,Оценка численности постоянного населения по субъектам Российской Федерации,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Рис. 1. Численность постоянного населения Российской Федерации (данные Росстата, дата обновления 05.02.2020)' at 72% similarity, below the threshold for a match."
Bering Island,web,bibliographic,,"Russia, RS26, Toporkov",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Toporkov, Aleksandr' at 62% similarity, below the threshold for a match."
Bering Island,web,bibliographic,,Kamchatka: Bering Island,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Bering Island,book,bibliographic,,The voyage of the Vega round Asia and Europe: with a historical review of previous journeys along the north coast of the Old world,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Bering Island,web,bibliographic,,The Diary Review: Steller on Bering Island,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Bering Island,web,bibliographic,,Kamchatka: Bering Island: The Aleuts on Bering Island,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Assignment Nor'Dyren,journal,doi,10.1002/1097-4679(195910)15:43.0.co;2-t,Homosexuality and creativity,not_found,crossref+openalex,Neither Crossref nor OpenAlex holds a record for this DOI. Two independent indexes have no registration for it.
Assignment Nor'Dyren,journal,doi,10.1300/j082v02n03_09,Homosexuality and creativity,verified,crossref,title matches record (93% similarity)
Assignment Nor'Dyren,journal,doi,10.1300/j082v28n03_07,"Brain research, gender and sexual orientation",verified,crossref,title matches record (100% similarity)
Assignment Nor'Dyren,journal,doi,10.1016/s0006-8993(02)02590-8,A lack of dimorphism of sex or sexual orientation in the human anterior commissure,verified,crossref,title matches record (93% similarity)
Assignment Nor'Dyren,book,bibliographic,,Assignment Nor'Dyren,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Artarborol, a nor-Caryophyllane Sesquiterpene Alcohol from Artemisia arborescens. Stereostructure Assignment through Concurrence of NMR Data and Computational Analysis' at 82% similarity, below the threshold for a match."
Kaplaneios School,book,bibliographic,,"Epirus, 4000 years of Greek history and civilization",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Byzantine and Modern Greek Perceptions of the Crusades' at 55% similarity, below the threshold for a match."
Kaplaneios School,web,bibliographic,,Καπλάνειος Σχολή- Πατριαρχική Σχολή. [Kaplaneios -Patriarchical School],not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Ο Διαφωτισμός στην Πατριαρχική Σχολή της Ξηροκρήνης' at 50% similarity, below the threshold for a match."
Kaplaneios School,journal,doi,10.1007/s11191-006-9050-x,"The ""System of Chymists"" and the ""Newtonian dream"" in Greek-speaking Communities in the 17th–18th Centuries",verified,crossref,title matches record (100% similarity)
Kaplaneios School,book,bibliographic,,The eve of the Greek revival: British travellers' perceptions of early nineteenth-century Greece,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Kaplaneios School,journal,doi,10.2307/2707921,The Neo-Hellenic Enlightenment (1750-1821),verified,crossref,title matches record (100% similarity)
Kaplaneios School,thesis,bibliographic,,Paideia in Ioannina during the so-called Tourkokratia: 18th century - beginning 20th century,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Translating in the ‘expanded’ town: Translation practices in nineteenth-century Nicosia and Cyprus' at 50% similarity, below the threshold for a match."
Kaplaneios School,book,bibliographic,,"Epirus, 4000 years of Greek history and civilization",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Byzantine and Modern Greek Perceptions of the Crusades' at 55% similarity, below the threshold for a match."
Vriesea psittacina,journal,doi,10.1590/2175-7860200859114,"Bromeliaceae da Mata Atlântica Brasileira: lista de espécies, distribuição e conservação",verified,crossref,title matches record (100% similarity)
E-52862,journal,doi,10.1111/j.1476-5381.2012.01942.x,"Pharmacological properties of S1RA, a new sigma-1 receptor antagonist that inhibits neuropathic pain and activity-induced spinal sensitization",verified,crossref,title matches record (100% similarity)
E-52862,journal,doi,10.1016/j.jpain.2012.08.006,Role of sigma-1 receptors in paclitaxel-induced neuropathic pain in mice,verified,crossref,title matches record (100% similarity)
E-52862,journal,doi,10.1002/j.1532-2149.2012.00251.x,Operant self-administration of a sigma ligand improves nociceptive and emotional manifestations of neuropathic pain,verified,crossref,title matches record (100% similarity)
E-52862,journal,doi,10.1097/aln.0b013e318280a60a,σ1 receptors are involved in the visceral pain induced by intracolonic administration of capsaicin in Mice,verified,crossref,title matches record (98% similarity)
E-52862,journal,doi,10.1111/j.1365-2125.2012.04333.x,"Safety, tolerability and pharmacokinetics of single and multiple doses of a novel sigma-1 receptor antagonist in three randomized phase I studies",verified,crossref,title matches record (100% similarity)
E-52862,journal,doi,10.1002/ejp.4755,"E-52862—A selective sigma-1 receptor antagonist, in peripheral neuropathic pain: Two randomized, double-blind, phase 2 studies in patients with chronic postsurgical pain and painful diabetic neuropathy.",verified,crossref,title matches record (100% similarity)
Krka (Adriatic Sea),web,bibliographic,,Špilja Izvor Krke,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Krka (Adriatic Sea),web,bibliographic,,Prirodna baština,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Krka (Adriatic Sea),book,bibliographic,,Rijeka Krka sa 54 slike,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Stripes between the Sacred and the Profane' at 36% similarity, below the threshold for a match."
Krka (Adriatic Sea),book,bibliographic,,"Kazalo za ""Hrvatski planinar"" i ""Naše planine"" 1898—1958",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'On the structure of anhydrous nickel sulfate' at 35% similarity, below the threshold for a match."
Krka (Adriatic Sea),journal,doi,10.1623/hysj.51.4.682,"Definition of catchment area in karst: case of the rivers Krčić and Krka, Croatia",verified,crossref,title matches record (100% similarity)
Krka (Adriatic Sea),journal,doi,10.1007/s12665-013-3031-6,Hydrogeological properties of a complex Dinaric karst catchment: Miljacka Spring case study,verified,crossref,title matches record (100% similarity)
Carlos Lanusse,web,bibliographic,,American Association of Veterinary Parasitologists,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Carlos Lanusse,web,bibliographic,,Reconocimiento en Estados Unidos al aporte científico del Dr. Carlos Lanusse,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'El futuro del español en Estados Unidos' at 70% similarity, below the threshold for a match."
Carlos Lanusse,web,bibliographic,,AAVPT Award Recipients,not_found,crossref+openalex,"no indexed record matches this description. Closest was '2016 Award Recipients' at 86% similarity, below the threshold for a match."
Carlos Lanusse,web,bibliographic,,Awards (not current),not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Image awards' at 67% similarity, below the threshold for a match."
Carlos Lanusse,journal,doi,10.1016/j.ijpddr.2012.11.001,"Comparative tissue pharmacokinetics and efficacy of moxidectin, abamectin and ivermectin in lambs infected with resistant nematodes: Impact of drug treatments on parasite P-glycoprotein expression",verified,crossref,title matches record (100% similarity)
Carlos Lanusse,journal,doi,10.1016/j.ijpddr.2012.11.001,"Comparative tissue pharmacokinetics and efficacy of moxidectin, abamectin and ivermectin in lambs infected with resistant nematodes: Impact of drug treatments on parasite P-glycoprotein expression",verified,crossref,title matches record (100% similarity)
Carlos Lanusse,journal,doi,10.1016/j.vas.2022.100269,Pharmacological characterization of geraniol in sheep and its potential use in the control of gastrointestinal nematodes,verified,crossref,title matches record (100% similarity)
Carlos Lanusse,journal,doi,10.1016/j.vas.2022.100269,Pharmacological characterization of geraniol in sheep and its potential use in the control of gastrointestinal nematodes,verified,crossref,title matches record (100% similarity)
Tursi,web,bibliographic,,"Popolazione residente nelle frazioni e nei borghi, Istat 2001",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'La popolazione straniera nel Bilancio demografico Istat del 2010' at 65% similarity, below the threshold for a match."
Tursi,web,bibliographic,,Bilancio demografico mensile anno 2023 (dati provvisori),not_found,crossref+openalex,"no indexed record matches this description. Closest was 'La popolazione straniera nel Bilancio demografico Istat del 2010' at 63% similarity, below the threshold for a match."
Tursi,book,bibliographic,,Proclami e sanzioni della repubblica Napoletana,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A SAR A/D converter using PWM technique' at 38% similarity, below the threshold for a match."
Tursi,web,bibliographic,,Vista di Tursi dal satellite,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Esistono diverse impostazioni della probabilità. Qual è quella preferibile dal punto di vista teorico? E dal punto di vista didattico?' at 60% similarity, below the threshold for a match."
Tursi,web,bibliographic,,traversa di gannano,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Tursi,web,bibliographic,,Diga del Monte Cotugno,verified,crossref,matched a Crossref record by title search (90% similarity); no DOI given in document
Tursi,web,bibliographic,,Tabella climatica di Montalbano Jonico,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'NEW REPORT OF DECAPOD AND ISOPOD CRUSTACEANS FROM THE LOWERMIDDLE PLEISTOCENE OF MONTALBANO JONICO, MATERA (BASILICATA, SOUTHERN ITALY)' at 62% similarity, below the threshold for a match."
Tursi,web,bibliographic,,Gradi-Giorno Tursi,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Gradi, Luigi Napoleone' at 51% similarity, below the threshold for a match."
Gold effect,book,bibliographic,,Lying Truths. A critical scrutiny of current beliefs and conventions,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Gold effect,book,bibliographic,,Follies and Fallacies in Medicine,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Reductionist Fallacies in the Theory and Treatment of Mental Disorders' at 65% similarity, below the threshold for a match."
Gold effect,journal,doi,10.1080/13698570903499608,Cholesterol screening and the Gold Effect,verified,crossref,title matches record (100% similarity)
Tin foil,journal,doi,10.1016/j.culher.2019.05.020,Imported or indigenous? The earliest forged tin foil found in China,verified,crossref,title matches record (100% similarity)
Tin foil,book,bibliographic,,The Stripping of the Altars,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Tin foil,journal,doi,10.4000/archeosciences.2545,Gilding on wall paintings from a period between the 14th-16th centuries AD in the Lombard lake region,verified,crossref,title matches record (100% similarity)
Tin foil,web,bibliographic,,Foiled: Tinsel Painting in America,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Tin foil,web,bibliographic,,History Of The Use Of Tin Foil Pre 1850,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Tin foil,book,bibliographic,,The Encyclopedia Americana (Volume 22),verified,crossref,matched a Crossref record by title search (96% similarity); no DOI given in document
Tin foil,web,bibliographic,,Hey Crazy – Get a New Hat,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'How crazy can you get?' at 68% similarity, below the threshold for a match."
History of lead,web,bibliographic,,Human Activity Has Polluted European Air for 2000 Years,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Financial competence framework for adults in the European Union' at 46% similarity, below the threshold for a match."
History of lead,journal,doi,10.1080/0955580032000077739,The memory of the women's white faces: Japaneseness and the ideal image of women,verified,crossref,title matches record (100% similarity)
History of lead,book,bibliographic,,The Natural History of Pompeii,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A Communicative Ontology of Organization? A Description, History, and Critique of CCO Theories for Organization Science' at 50% similarity, below the threshold for a match."
History of lead,book,bibliographic,,Ancient African Metallurgy: The Sociocultural Context,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
History of lead,journal,doi,10.1017/s104775940000742x,"The Graeco-Roman economy in the super long-run: Lead, copper, and shipwrecks",verified,crossref,title matches record (100% similarity)
History of lead,book,bibliographic,,Construyendo la Tabla Periódica,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Determinantes de la oferta de carne de pollo en en México' at 43% similarity, below the threshold for a match."
History of lead,book,bibliographic,,Ancient Greek Letter Writing: A Cultural History (600 BC- 150 BC),verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
History of lead,journal,bibliographic,,"Update: blood lead levels--United States, 1991-1994",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Update: Influenza Activity--United States, January 22-28, 2006' at 59% similarity, below the threshold for a match."
Cornelis de Heem,web,bibliographic,,Discover painter Cornelis de Heem,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Cornelis de Heem,journal,doi,10.2307/1512938,"Addenda to ""Flemish Paintings in the Metropolitan Museum of Art""",verified,crossref,title matches record (100% similarity)
Probabilistic numerics,book,bibliographic,,Probabilistic Numerics,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Probabilistic numerics,journal,doi,10.1007/s11222-019-09902-z,A modern retrospective on probabilistic numerics,verified,crossref,title matches record (100% similarity)
Probabilistic numerics,book,bibliographic,,"Operator-Adapted Wavelets, Fast Solvers, and Numerical Homogenization: From a Game Theoretic Approach to Numerical Approximation and Algorithm Design",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Probabilistic numerics,journal,doi,10.1137/140974596,Bayesian Numerical Homogenization,verified,crossref,title matches record (100% similarity)
Probabilistic numerics,journal,doi,10.1098/rspa.2015.0142,Probabilistic numerics and uncertainty in computations,verified,crossref,title matches record (100% similarity)
Probabilistic numerics,journal,doi,10.1137/17m1139357,Bayesian probabilistic numerical methods,verified,crossref,title matches record (100% similarity)
Probabilistic numerics,conference,bibliographic,,Classical quadrature rules via Gaussian processes,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Probabilistic numerics,journal,arxiv,1206.4602,Quasi-Newton methods: A new direction,unreachable,-,check could not be completed: https://export.arxiv.org/api/query?id_list=1206.4602&max_results=1: HTTP Error 429: Unknown Error
Eucalyptus tereticornis,web,bibliographic,,Eucalyptus tereticornis,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Eucalyptus tereticornis,web,bibliographic,,Eucalyptus tereticornis subsp. tereticornis,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Eucalyptus camaldulensis x Eucalyptus tereticornis' at 88% similarity, below the threshold for a match."
Eucalyptus tereticornis,book,bibliographic,,Forest Trees of Australia,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'References' at 40% similarity, below the threshold for a match."
Eucalyptus tereticornis,web,bibliographic,,Eucalyptus tereticornis,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Planting Eucalyptus Trees' at 62% similarity, below the threshold for a match."
Eucalyptus tereticornis,web,bibliographic,,Eucalyptus tereticornis,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Aids to Identification in Eucalyptus' at 61% similarity, below the threshold for a match."
Eucalyptus tereticornis,web,bibliographic,,Eucalyptus tereticornis subsp. mediana,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Response of Eucalyptus regnans F. Muell. to thinning and urea fertilization in New Zealand' at 43% similarity, below the threshold for a match."
Eucalyptus tereticornis,web,bibliographic,,Eucalyptus tereticornis,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Eucalyptus tereticornis,book,bibliographic,,A Specimen of the Botany of New Holland,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Brown Gum Tree, or New Holland Mahogany, Eucalyptus robusta [Pl. 13]' at 53% similarity, below the threshold for a match."
Harvard Medical African Expedition (1926–1927),journal,doi,10.1126/science.65.1675.133.a,The Harvard African Expedition,verified,crossref,title matches record (100% similarity)
Harvard Medical African Expedition (1926–1927),web,bibliographic,,"Chief Suah Koko & the 1926 Harvard African Expedition · Chief Suah Koko: People's Defender & Peacemaker · A Liberian Journey: History, Memory, and the Making of a Nation",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Chief Sources of English Legal History' at 65% similarity, below the threshold for a match."
Harvard Medical African Expedition (1926–1927),book,bibliographic,,Bulletin of the Boston Society of Natural History,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Annual of the Boston Society of natural history, 1868-69' at 89% similarity, below the threshold for a match."
Harvard Medical African Expedition (1926–1927),web,bibliographic,,The Harvard African Expedition meets Chief Suah Koko,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Harvard Medical African Expedition (1926–1927),web,bibliographic,,Chief Suah Koko: A Historic Figure,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Emerson, Richard Martyn, (born 19 Dec. 1949), writer; Chief Inspector of Historic Buildings, Historic Scotland, 1999–2004' at 60% similarity, below the threshold for a match."
Harvard Medical African Expedition (1926–1927),web,bibliographic,,"Chief Suah Koko, A Woman of Power",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Alezzandrini syndrome,book,bibliographic,,Andrews' Diseases of the Skin: Clinical Dermatology,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Alezzandrini syndrome,journal,doi,10.1136/bcr.04.2011.4052,Alezzandrini syndrome,verified,crossref,title matches record (100% similarity)
Alezzandrini syndrome,book,bibliographic,,Dermatology: 2-Volume Set,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Alezzandrini syndrome,journal,bibliographic,,"Alezzandrini Syndrome: Practice Essentials, Pathophysiology, Epidemiology",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Waardenburg syndrome' at 57% similarity, below the threshold for a match."
Insulated pipe,web,bibliographic,,Catalog of a manufacturer; page 2.0.0.1,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Our catalog /' at 78% similarity, below the threshold for a match."
Insulated pipe,thesis,doi,10.34712/142.35,A Circular Economy Approach to Multifunctional Sandwich Structures: Polymeric Foams for District Heating Pre-Insulated Pipes,verified,openalex,"not in Crossref, but OpenAlex holds it (dissertation): title matches record (100% similarity)"
Insulated pipe,journal,doi,10.1016/j.egyr.2021.08.161,Sustainable insulation for sustainable DHC,verified,crossref,title matches record (100% similarity)
Insulated pipe,journal,doi,10.1002/app.51816,Extrusion foaming behavior of polybutene-1. Toward single-material multifunctional sandwich structures,verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.1016/j.fct.2009.04.023,Cholinesterase inhibitory effects of the extracts and compounds of Maclura pomifera (Rafin.) Schneider,verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.1021/ja01265a079,"Isolation of a New Pigment, Pomiferin",verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.1021/ja01207a021,. Complete Structures of Osajin and Pomiferin,verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.1603/0046-225x-29.6.1133,"Osajin and Pomiferin, Two Isoflavones Purified from Osage Orange Fruits, Tested for Repellency to the Maize Weevil (Coleoptera: Curculionidae)",verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.1021/jf0342369,"Antioxidant Isoflavones in Osage Orange, Maclura pomifera (Raf.) Schneid",verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.1007/bf02612556,The antioxidants of the osage orange fruit,verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.2754/avb200776030363,Protective Effects of Flavonoid Pomiferin on Heart Ischemia-Reperfusion,verified,crossref,title matches record (100% similarity)
Pomiferin,journal,doi,10.1055/s-2007-971646,Antimicrobial components from Maclura pomifera fruit,verified,crossref,title matches record (100% similarity)
Public transport bus service,web,bibliographic,,Premiers omnibus à Nantes,not_found,crossref+openalex,"no indexed record matches this description. Closest was ""Saint-Simon, Mémoires, 1715 : «Révocation de l'Edit de Nantes ». Des trois premiers rois Bourbons"" at 75% similarity, below the threshold for a match."
Public transport bus service,web,bibliographic,,"Year 1662, The First Public Bus, The Omnibus",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Public transport bus service,web,bibliographic,,When was the horse-drawn urban omnibus introduced in Paris?,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Modernity in motion' at 31% similarity, below the threshold for a match."
Public transport bus service,web,bibliographic,,Greater Manchester's Museum of Transport: Public Transport in Greater Manchester,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Design Policy for Greater Manchester Transport' at 79% similarity, below the threshold for a match."
Public transport bus service,web,bibliographic,,Les omnibus à traction hippomobile (archives of Musée départemental Dobrée),not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Le médailler byzantin du musée départemental Dobrée' at 68% similarity, below the threshold for a match."
Public transport bus service,web,bibliographic,,Streetcar Sunday - The Bowery,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'STREETCAR MANUFACTURE DURING THE 1930s' at 65% similarity, below the threshold for a match."
Public transport bus service,web,bibliographic,,American Public Transportation Association,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Public transport bus service,web,bibliographic,,Express Bus Service,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
E. J. H. Corner,journal,bibliographic,,"Obituary. E. M. Corner, M.Ch., F.R.C.S.",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Rural Corner: Ethical Issues in Rural Family Practice' at 45% similarity, below the threshold for a match."
E. J. H. Corner,web,bibliographic,,"Corner, Edred Moss",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Corner, (Edred) John Henry (1906–1996), botanist' at 83% similarity, below the threshold for a match."
E. J. H. Corner,journal,doi,10.1098/rsbm.1999.0007,"Edred John Henry Corner, C.B.E. 12 January 1906 – 14 September 1996: Elected F.R.S. 1955",verified,crossref,title matches record (100% similarity)
